Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month
2016-08-31 00:00:00,09:45:00,2016-08-31 00:00:00,09:55:00,Colorado:,WECC,Transmission Interruption,0,0,2016,August,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,
2016-08-31 00:00:00,14:52:00,Unknown,Unknown,Washington: Clark County;,WECC,Islanding,0,0,2016,August,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,
2016-09-01 00:00:00,22:00:00,Unknown,Unknown,Florida:,FRCC,Severe Weather,100,Unknown,2016,September,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2016-09-02 00:00:00,00:40:00,2016-09-04 00:00:00,20:00:00,"Florida: Leon County, Wakulla County;",FRCC,Severe Weather,450,75000,2016,September,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2016-09-02 00:00:00,04:00:00,2016-09-02 00:00:00,16:00:00,"Florida: Alachua County, Bay County, Citrus County, Columbia County, Dixie County, Franklin County, Gilchrist County, Gulf County, Hamilton County, Hardee County, Hernando County, Highlands County, Jefferson County, Lafayette County, Lake County, Levy County, Madison County, Marion County, Orange County, Osceola County, Pasco County, Pinellas County, Polk County, Seminole County, Sumter County, Suwannee County, Taylor County, Volusia County, Wakulla County;",FRCC,Severe Weather,225,90000,2016,September,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2016-09-02 00:00:00,05:45:00,2016-09-03 00:00:00,00:30:00,Georgia:,SERC,Severe Weather,Unknown,57000,2016,September,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2016-09-06 00:00:00,18:12:00,2016-09-06 00:00:00,21:24:00,Washington: Clark County;,WECC,Islanding,300,Unknown,2016,September,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,
2016-09-08 00:00:00,08:30:00,2016-09-25 00:00:00,00:00:00,New York: Tompkins County;,NPCC,Fuel Supply Deficiency,210,Unknown,2016,September,Fuel supply emergencies that could impact electric power system adequacy or reliability,
2016-09-08 00:00:00,14:49:00,2016-09-08 00:00:00,15:03:00,Washington:,WECC,Islanding,0,0,2016,September,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,
2016-09-10 00:00:00,09:42:00,2016-09-10 00:00:00,09:57:00,Washington: Clark County;,WECC,Generation Inadequacy,135,Unknown,2016,September,Load shedding of 100 Megawatts or more implemented under emergency operational policy,
2016-09-11 00:00:00,12:05:00,2016-09-11 00:00:00,15:10:00,Connecticut: Massachusetts: New Hampshire: Rhode Island: Vermont: Maine:,NPCC,Severe Weather,Unknown,57960,2016,September,"Loss of electric service to more than 50,000 customers for 1 hour or more",
2016-09-12 00:00:00,12:30:00,2016-09-12 00:00:00,17:56:00,"New Mexico: Bernalillo County, Sandoval County, Santa Fe County, Valencia County;",WECC,Generation Inadequacy,110,53753,2016,September,Load shedding of 100 Megawatts or more implemented under emergency operational policy,
2016-09-21 00:00:00,14:30:00,2016-09-24 00:00:00,02:30:00,Puerto Rico:,,System Operations,2750,1475000,2016,September,Complete operational failure or shut-down of the transmission and/or distribution electrical system,
2016-09-21 00:00:00,19:44:00,2016-09-21 00:00:00,21:17:00,Texas: Lubbock County;,TRE,Actual Physical Event,0,0,2016,September,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
2016-09-22 00:00:00,10:56:00,2016-09-22 00:00:00,11:41:00,Iowa: Black Hawk County;,MRO,System Operations,69,19124,2016,September,Complete operational failure or shut-down of the transmission and/or distribution electrical system,
2016-09-25 00:00:00,12:49:00,2016-09-25 00:00:00,18:20:00,"Utah: Kane County, Garfield County; Arizona: Coconino County, Mohave County",WECC,Vandalism,20,10000,2016,September,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
10/01/2016,12:24:00,10/02/2016,02:04:00,California: Mendocino County;,WECC,Actual Physical Event,0,0,2016,October,Physical attack that causes major interruptions or impacts to critical infrastructure facilities or to operations,
10/02/2016,23:30:00,10/05/2016,08:00:00,Utah:,WECC,Transmission Interruption,50,4000,2016,October,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,
10/03/2016,15:09:00,10/04/2016,19:00:00,Texas:,TRE,Public Appeal,Unknown,Unknown,2016,October,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,
10/05/2016,11:32:00,10/05/2016,19:00:00,Texas:,TRE,Public Appeal,Unknown,Unknown,2016,October,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the electric power system,
10/05/2016,15:51:00,Unknown,Unknown,California: Imperial County;,WECC,Vandalism,0,0,2016,October,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,
