Date Event Began,Time Event Began,Date of Restoration,Time of Restoration,Area Affected,NERC Region,Event Type,Demand Loss (MW),Number of Customers Affected,year,Month,Alert Criteria,Event Month,dt_begin,dt_restore,duration_minutes
11/18/2022,04:30:00,11/18/2022,04:59:00,Washington: Cowlitz County;,WECC,Actual Physical Attack/Vandalism,3,1454,2022,November,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-11-18 04:30:00,2022-11-18 04:59:00,29.0
11/23/2022,10:15:00,11/23/2022,14:09:00,Washington: Pierce County;,WECC,Actual Physical Attack/Vandalism,0,0,2022,November,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,,2022-11-23 10:15:00,2022-11-23 14:09:00,234.0
11/24/2022,01:40:00,11/24/2022,01:45:00,Oregon: Clackamas County;,WECC,Vandalism,0,0,2022,November,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-11-24 01:40:00,2022-11-24 01:45:00,5.0
11/25/2022,05:00:00,11/25/2022,08:00:00,California: Riverside County;,WECC,Actual Physical Attack/Vandalism,0,0,2022,November,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-11-25 05:00:00,2022-11-25 08:00:00,180.0
11/28/2022,01:08:00,11/28/2022,02:24:00,Oregon: Clackamas County;,WECC,Actual Physical Attack/Vandalism,Unknown,6337,2022,November,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,,2022-11-28 01:08:00,2022-11-28 02:24:00,76.0
12/13/2022,23:59:00,12/14/2022,03:39:00,Washington: Spokane County;,WECC,Vandalism,10,583,2022,December,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-12-13 23:59:00,2022-12-14 03:39:00,220.0
12/15/2022,05:30:00,12/15/2022,05:31:00,Utah: Salt Lake County;,WECC,Vandalism,0,0,2022,December,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-12-15 05:30:00,2022-12-15 05:31:00,1.0
12/25/2022,19:25:00,12/25/2022,20:07:00,Washington: Pierce County;,WECC,Vandalism,32,13500,2022,December,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-12-25 19:25:00,2022-12-25 20:07:00,42.0
12/25/2022,02:42:00,12/25/2022,04:55:00,Washington: Pierce County;,WECC,Vandalism,14,8000,2022,December,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-12-25 02:42:00,2022-12-25 04:55:00,133.0
12/26/2022,06:54:00,12/26/2022,08:19:00,Washington:,WECC,Vandalism,Unknown,Unknown,2022,December,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-12-26 06:54:00,2022-12-26 08:19:00,85.0
12/26/2022,08:30:00,12/28/2022,21:00:00,"Washington: King County, Island County, Kittitas County, Kitsap County, Pierce County, Skagit County, Thurston County, Whatcom County;",WECC,Severe Weather,Unknown,230000,2022,December,"Loss of electric service to more than 50,000 customers for 1 hour or more.",,2022-12-26 08:30:00,2022-12-28 21:00:00,3630.0
12/27/2022,08:00:00,12/27/2022,08:30:00,Washington: Lewis County;,WECC,Vandalism,0,0,2022,December,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-12-27 08:00:00,2022-12-27 08:30:00,30.0
12/27/2022,13:30:00,12/27/2022,21:16:00,California: San Diego County;,WECC,Vandalism,0,0,2022,December,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-12-27 13:30:00,2022-12-27 21:16:00,466.0
12/27/2022,20:40:00,12/27/2022,20:41:00,Washington: King County;,WECC,Severe Weather,11,11600,2022,December,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system.,,2022-12-27 20:40:00,2022-12-27 20:41:00,1.0
12/27/2022,07:07:00,12/29/2022,11:10:00,California: Sacramento County;,WECC,Suspicious Activity,Unknown,Unknown,2022,December,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",,2022-12-27 07:07:00,2022-12-29 11:10:00,3123.0
12/27/2022,07:20:00,12/27/2022,11:22:00,California: Sacramento County;,WECC,Vandalism,0,0,2022,December,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,,2022-12-27 07:20:00,2022-12-27 11:22:00,242.0
12/29/2022,13:14:00,12/29/2022,13:55:00,Washington: King County;,WECC,Vandalism,0,0,2022,December,Damage or destruction of its Facility that results from actual or suspected intentional human action.,,2022-12-29 13:14:00,2022-12-29 13:55:00,41.0
12/30/2022,05:25:00,12/30/2022,14:17:00,Oregon: Sherman County;,WECC,Transmission Interruption,0,0,2022,December,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",,2022-12-30 05:25:00,2022-12-30 14:17:00,532.0
12/31/2022,20:00:00,01/03/2023,00:00:00,Nevada:,WECC,Severe Weather,Unknown,3500,2022,December,"Loss of electric service to more than 50,000 customers for 1 hour or more.",,2022-12-31 20:00:00,2023-01-03 00:00:00,3120.0
12/31/2022,19:00:00,01/01/2023,06:00:00,California: Sacramento County;,WECC,Severe Weather,Unknown,161000,2022,December,"Loss of electric service to more than 50,000 customers for 1 hour or more.",,2022-12-31 19:00:00,2023-01-01 06:00:00,660.0
01/01/2023,00:06:00,01/01/2023,03:57:00,California: Riverside County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,January,2023-01-01 00:06:00,2023-01-01 03:57:00,231.0
01/01/2023,09:55:00,01/01/2023,10:30:00,California: Sacramento County;,WECC,System Operations,0,0,2023,,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,January,2023-01-01 09:55:00,2023-01-01 10:30:00,35.0
01/02/2023,03:16:00,01/02/2023,16:46:00,New Mexico:,WECC,Vandalism,432,0,2023,,Physical attack that causes major interruptions or impacts to critical infrastructure or to operations,January,2023-01-02 03:16:00,2023-01-02 16:46:00,810.0
01/05/2023,07:30:00,01/05/2023,09:30:00,Washington: Lewis County;,WECC,Suspicious Activity,0,0,2023,,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",January,2023-01-05 07:30:00,2023-01-05 09:30:00,120.0
01/07/2023,22:00:00,01/08/2023,21:00:00,California: Sacramento County;,WECC,Severe Weather,458,185434,2023,,"Loss of electric service to more than 50,000 customers for 1 hour or more",January,2023-01-07 22:00:00,2023-01-08 21:00:00,1380.0
01/12/2023,11:58:00,01/12/2023,12:30:00,Washington: King County;,WECC,Vandalism,Unknown,Unknown,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,January,2023-01-12 11:58:00,2023-01-12 12:30:00,32.0
01/25/2023,22:30:00,01/26/2023,00:01:00,Washington: Kitsap County;,WECC,Vandalism,0,0,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,January,2023-01-25 22:30:00,2023-01-26 00:01:00,91.0
01/26/2023,07:00:00,01/26/2023,14:46:00,Washington: King County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,January,2023-01-26 07:00:00,2023-01-26 14:46:00,466.0
02/02/2023,22:07:00,02/03/2023,16:08:00,Colorado:,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,February,2023-02-02 22:07:00,2023-02-03 16:08:00,1081.0
02/03/2023,16:00:00,02/03/2023,16:45:00,Oregon: Washington: Yakima County; Idaho: Utah: Wyoming:,WECC,Vandalism,0,0,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,February,2023-02-03 16:00:00,2023-02-03 16:45:00,45.0
02/13/2023,21:50:00,02/14/2023,02:24:00,California: San Diego County;,WECC,Suspicious Activity,0,0,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,February,2023-02-13 21:50:00,2023-02-14 02:24:00,274.0
02/19/2023,08:18:00,02/19/2023,12:15:00,California: Riverside County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,February,2023-02-19 08:18:00,2023-02-19 12:15:00,237.0
02/23/2023,08:50:00,02/23/2023,12:38:00,Colorado: Larimer County;,WECC,System Operations,0,0,2023,,Fuel supply emergencies that could impact electric power system adequacy or reliability,February,2023-02-23 08:50:00,2023-02-23 12:38:00,228.0
02/25/2023,00:08:00,02/26/2023,18:08:00,California: Los Angeles County;,WECC,Severe Weather,Unknown,153555,2023,,"Loss of electric service to more than 50,000 customers for 1 hour or more",February,2023-02-25 00:08:00,2023-02-26 18:08:00,2520.0
03/10/2023,08:00:00,03/10/2023,08:56:00,Idaho: Ada County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,March,2023-03-10 08:00:00,2023-03-10 08:56:00,56.0
03/23/2023,17:19:00,03/23/2023,18:06:00,Washington: King County;,WECC,Cyber Event,0,0,2023,,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,March,2023-03-23 17:19:00,2023-03-23 18:06:00,47.0
03/23/2023,00:39:00,03/23/2023,00:40:00,Nevada: Clark County;,WECC,Actual Physical Attack/Vandalism,24,11479,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,March,2023-03-23 00:39:00,2023-03-23 00:40:00,1.0
03/26/2023,12:52:00,03/26/2023,13:54:00,Washington: Oregon: Josephine County; California: Idaho: Utah: Wyoming: Montana:,WECC ,Vandalism,34,Unknown,2023,,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",March,2023-03-26 12:52:00,2023-03-26 13:54:00,62.0
03/30/2023,09:13:00,03/30/2023,09:15:00,Washington: Kitsap County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,March,2023-03-30 09:13:00,2023-03-30 09:15:00,2.0
03/30/2023,18:28:00,03/30/2023,22:13:00,Colorado: Larimer County;,WECC,Transmission Interruption,18,Unknown,2023,,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,March,2023-03-30 18:28:00,2023-03-30 22:13:00,225.0
04/03/2023,18:50:00,04/03/2023,19:26:00,Colorado: Wyoming: Nebraska: Arizona: New Mexico: Utah: California:,WECC/MRO,Transmission Interruption,Unknown,0,2023,,Complete loss of monitoring or control capability at its staffed Bulk Electric System control center for 30 continuous minutes or more.,April,2023-04-03 18:50:00,2023-04-03 19:26:00,36.0
04/18/2023,03:41:00,04/18/2023,04:00:00,Washington: King County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,April,2023-04-18 03:41:00,2023-04-18 04:00:00,19.0
04/19/2023,15:15:00,04/19/2023,15:59:00,Washington: Snohomish County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,April,2023-04-19 15:15:00,2023-04-19 15:59:00,44.0
04/23/2023,09:22:00,04/24/2023,17:49:00,Washington: Mason County;,WECC,System Operations,25,Unknown,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,April,2023-04-23 09:22:00,2023-04-24 17:49:00,1947.0
04/25/2023,10:33:00,04/25/2023,15:43:00,Arizona: Maricopa County;,WECC,System Operations,0,0,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,April,2023-04-25 10:33:00,2023-04-25 15:43:00,310.0
04/26/2023,12:31:00,04/26/2023,14:15:00,Idaho: Bonner County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,April,2023-04-26 12:31:00,2023-04-26 14:15:00,104.0
04/27/2023,04:01:00,04/28/2023,12:28:00,California: Stanislaus County;,WECC,Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,April,2023-04-27 04:01:00,2023-04-28 12:28:00,1947.0
2023-05-16 00:00:00,14:45:00,2023-05-16 00:00:00,15:10:00,Oregon: Multnomah County;,WECC,Suspicious Activity,0,0,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems,May,2023-05-16 14:45:00,2023-05-16 15:10:00,25.0
2023-05-21 00:00:00,15:30:00,2023-05-21 00:00:00,15:40:00,Washington: Whatcom County;,WECC,Suspicious Activity,0,0,2023,,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",May,2023-05-21 15:30:00,2023-05-21 15:40:00,10.0
2023-06-27 00:00:00,13:43:00,2023-06-27 00:00:00,13:44:00,California,WECC,- Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,June,2023-06-27 13:43:00,2023-06-27 13:44:00,1.0
2023-06-27 00:00:00,17:37:00,2023-06-27 00:00:00,21:30:00,"Washington, Idaho, Montana",WECC,- Failure at high voltage substation or switchyard,0,0,2023,,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",June,2023-06-27 17:37:00,2023-06-27 21:30:00,233.0
2023-07-07 00:00:00,07:00:00,2023-07-07 00:00:00,08:00:00,California: San Diego County;,WECC,- Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,July,2023-07-07 07:00:00,2023-07-07 08:00:00,60.0
2023-07-09 00:00:00,01:28:00,2023-07-12 00:00:00,22:30:00,Oregon: Lane County;,WECC,- Vandalism - Theft,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,July,2023-07-09 01:28:00,2023-07-12 22:30:00,5582.0
2023-07-16 00:00:00,10:29:00,2023-07-16 00:00:00,10:56:00,California: Sacramento County;,WECC,- Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,July,2023-07-16 10:29:00,2023-07-16 10:56:00,27.0
2023-07-26 00:00:00,13:31:00,2023-07-26 00:00:00,14:00:00,Idaho: Kootenai County;,WECC,- Physical attack - Vandalism - Suspicious activity,0,0,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,July,2023-07-26 13:31:00,2023-07-26 14:00:00,29.0
2023-07-28 00:00:00,12:16:00,2023-07-28 00:00:00,12:17:00,Washington: King County;,WECC,- Physical attack - Vandalism - Other,0,0,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,July,2023-07-28 12:16:00,2023-07-28 12:17:00,1.0
2023-07-28 00:00:00,12:16:00,2023-07-28 00:00:00,12:17:00,Washington: Skagit County;,WECC,- Physical attack - Vandalism,0,0,2023,,Physical attack that could potentially impact electric power system adequacy or reliability; or vandalism which targets components of any security systems.,July,2023-07-28 12:16:00,2023-07-28 12:17:00,1.0
2023-09-29 00:00:00,22:16:00,09/29/2023,22:18:00,California: Butte County;,WECC,- Weather or natural disaster,18,9082,2023,,Electrical System Separation (Islanding) where part or parts of a power grid remain(s) operational in an otherwise blacked out area or within the partial failure of an integrated electrical system,September,2023-09-29 22:16:00,2023-09-29 22:18:00,2.0
09/29/2023,23:49:00,09/30/2023,03:10:00,Texas: New Mexico: Lea County;,"TRE,WECC",- Weather or natural disaster,0,0,2023,," Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",September,2023-09-29 23:49:00,2023-09-30 03:10:00,201.0
09/08/2023,06:30:00,09/08/2023,09:00:00,Washington: King County;,WECC,- Vandalism,0,0,2023,,Damage or destruction of its Facility that results from actual or suspected intentional human action.,September,2023-09-08 06:30:00,2023-09-08 09:00:00,150.0
10/05/2023,18:38:00,10/05/2023,19:02:00,"Texas: New Mexico: Lea County, Eddy County;","RE,WECC",- Other,0,0,2023,,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",October,2023-10-05 18:38:00,2023-10-05 19:02:00,24.0
10/15/2023,07:16:00,10/15/2023,12:52:00,California: Sacramento County;,WECC,- Other,72,6,2023,,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).",October,2023-10-15 07:16:00,2023-10-15 12:52:00,336.0
10/22/2023,02:10:00,10/23/2023,17:00:00,Texas: Jasper County;,WECC,- Physical attack - Vandalism - Theft - Suspicious activity,0,0,2023,,"Physical threat to its Facility excluding weather or natural disaster related threats, which has the potential to degrade the normal operation of the Facility. Or suspicious device or activity at its Facility.",October,2023-10-22 02:10:00,2023-10-23 17:00:00,2330.0
